"dates","prec"
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,2.30000003427267
2013-04-13,0.400000005960464
2013-04-13,0.100000001490116
2013-04-13,1.30000001937151
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-13,0
2013-04-14,0.200000002980232
2013-04-14,0.100000001490116
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-14,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0
2013-04-15,0.600000008940697
2013-04-15,0.100000001490116
2013-04-15,0
2013-04-15,2.40000003576279
2013-04-15,0.300000004470348
2013-04-15,0
2013-04-15,0
2013-04-16,0
2013-04-16,0.100000001490116
2013-04-16,0.100000001490116
2013-04-16,0
2013-04-16,0.100000001490116
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-16,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-17,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
2013-04-18,0
